time	V(g)
9.990485759703450e-01	1.949142e+00
1.000000000000000e+00	1.949142e+00
Step Information: Thresholdvoltage=1.936  (Step: 137/401)
0.000000000000000e+00	1.950142e+00
9.990485759703450e-01	1.950142e+00
1.000000000000000e+00	1.950142e+00
Step Information: Thresholdvoltage=1.937  (Step: 138/401)
0.000000000000000e+00	1.951142e+00
9.990485759703450e-01	1.951142e+00
1.000000000000000e+00	1.951142e+00
Step Information: Thresholdvoltage=1.938  (Step: 139/401)
0.000000000000000e+00	1.952142e+00
9.990485759703450e-01	1.952142e+00
1.000000000000000e+00	1.952142e+00
Step Information: Thresholdvoltage=1.939  (Step: 140/401)
0.000000000000000e+00	1.953142e+00
9.990485759703450e-01	1.953142e+00
1.000000000000000e+00	1.953142e+00
Step Information: Thresholdvoltage=1.94  (Step: 141/401)
0.000000000000000e+00	1.954142e+00
9.990485759703450e-01	1.954142e+00
1.000000000000000e+00	1.954142e+00
Step Information: Thresholdvoltage=1.941  (Step: 142/401)
0.000000000000000e+00	1.955142e+00
9.990485759703450e-01	1.955142e+00
1.000000000000000e+00	1.955142e+00
Step Information: Thresholdvoltage=1.942  (Step: 143/401)
0.000000000000000e+00	1.956142e+00
9.990485759703450e-01	1.956142e+00
1.000000000000000e+00	1.956142e+00
Step Information: Thresholdvoltage=1.943  (Step: 144/401)
0.000000000000000e+00	1.957142e+00
9.990485759703450e-01	1.957142e+00
1.000000000000000e+00	1.957142e+00
Step Information: Thresholdvoltage=1.944  (Step: 145/401)
0.000000000000000e+00	1.958142e+00
9.990485759703450e-01	1.958142e+00
1.000000000000000e+00	1.958142e+00
Step Information: Thresholdvoltage=1.945  (Step: 146/401)
0.000000000000000e+00	1.959142e+00
9.990485759703450e-01	1.959142e+00
1.000000000000000e+00	1.959142e+00
Step Information: Thresholdvoltage=1.946  (Step: 147/401)
0.000000000000000e+00	1.960142e+00
9.990485759703450e-01	1.960142e+00
1.000000000000000e+00	1.960142e+00
Step Information: Thresholdvoltage=1.947  (Step: 148/401)
0.000000000000000e+00	1.961142e+00
9.990485759703450e-01	1.961142e+00
1.000000000000000e+00	1.961142e+00
Step Information: Thresholdvoltage=1.948  (Step: 149/401)
0.000000000000000e+00	1.962142e+00
9.990485759703450e-01	1.962142e+00
1.000000000000000e+00	1.962142e+00
Step Information: Thresholdvoltage=1.949  (Step: 150/401)
0.000000000000000e+00	1.963142e+00
9.990485759703450e-01	1.963142e+00
1.000000000000000e+00	1.963142e+00
