Freq.	V(ref)	V(refref)
2.95120922666637e-002	(-1.64970755447855e+001dB,-8.94130540889688e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
3.01995172040200e-002	(-1.65020169391376e+001dB,-9.14609413599827e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
3.09029543251357e-002	(-1.65071851952839e+001dB,-9.35540925811665e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
3.16227766016836e-002	(-1.65125904398934e+001dB,-9.56933939714850e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
3.23593656929626e-002	(-1.65182432246407e+001dB,-9.78797411018075e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
3.31131121482589e-002	(-1.65241545415164e+001dB,-1.00114038390323e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
3.38844156139201e-002	(-1.65303358384500e+001dB,-1.02397198544200e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
3.46736850452530e-002	(-1.65367990352242e+001dB,-1.04730141944296e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
3.54813389233573e-002	(-1.65435565396620e+001dB,-1.07113795969611e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
3.63078054770099e-002	(-1.65506212640569e+001dB,-1.09549094258105e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
3.71535229097170e-002	(-1.65580066418212e+001dB,-1.12036975900374e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
3.80189396320559e-002	(-1.65657266443154e+001dB,-1.14578384562635e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
3.89045144994278e-002	(-1.65737957978228e+001dB,-1.17174267535382e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
3.98107170553495e-002	(-1.65822292006264e+001dB,-1.19825574704011e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
4.07380277804110e-002	(-1.65910425401386e+001dB,-1.22533257437709e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
4.16869383470333e-002	(-1.66002521100333e+001dB,-1.25298267392824e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
4.26579518801590e-002	(-1.66098748273182e+001dB,-1.28121555226990e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
4.36515832240163e-002	(-1.66199282492848e+001dB,-1.31004069220259e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
4.46683592150960e-002	(-1.66304305902623e+001dB,-1.33946753799572e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
4.57088189614872e-002	(-1.66414007380982e+001dB,-1.36950547962958e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
4.67735141287195e-002	(-1.66528582702802e+001dB,-1.40016383599992e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
