thresh,time,voltage
2.124,9.990485759703450e-01,2.138142e+00
2.125,9.990485759703450e-01,2.139142e+00
2.126,9.990485759703450e-01,2.140142e+00
2.127,9.990485759703450e-01,2.141142e+00
2.128,9.990485759703450e-01,2.142142e+00
2.129,9.990485759703450e-01,2.143142e+00
2.13,9.990485759703450e-01,2.144142e+00
2.131,9.990485759703450e-01,2.145142e+00
2.132,9.990485759703450e-01,2.146142e+00
2.133,9.990485759703450e-01,2.147142e+00
2.134,9.990485759703450e-01,2.148142e+00
2.135,9.990485759703450e-01,2.149142e+00
2.136,9.990485759703450e-01,2.150142e+00
2.137,9.990485759703450e-01,2.151142e+00
2.138,9.990485759703450e-01,2.152142e+00
2.139,9.990485759703450e-01,2.153142e+00
2.14,9.990485759703450e-01,2.154142e+00
2.141,9.990485759703450e-01,2.155142e+00
2.142,9.990485759703450e-01,2.156142e+00
2.143,9.990485759703450e-01,2.157142e+00
2.144,9.990485759703450e-01,2.158142e+00
2.145,9.990485759703450e-01,2.159142e+00
2.146,9.990485759703450e-01,2.160142e+00
2.147,9.990485759703450e-01,2.161142e+00
2.148,9.990485759703450e-01,2.162142e+00
2.149,9.990485759703450e-01,2.163142e+00
2.15,9.990485759703450e-01,2.164142e+00
2.151,9.990485759703450e-01,2.165142e+00
2.152,9.990485759703450e-01,2.166142e+00
2.153,9.990485759703450e-01,2.167142e+00
2.154,9.990485759703450e-01,2.168142e+00
2.155,9.990485759703450e-01,2.169142e+00
2.156,9.990485759703450e-01,2.170142e+00
2.157,9.990485759703450e-01,2.171142e+00
2.158,9.990485759703450e-01,2.172142e+00
2.159,9.990485759703450e-01,2.173142e+00
2.16,9.990485759703450e-01,2.174142e+00
2.161,9.990485759703450e-01,2.175142e+00
2.162,9.990485759703450e-01,2.176142e+00
2.163,9.990485759703450e-01,2.177142e+00
2.164,9.990485759703450e-01,2.178142e+00
2.165,9.990485759703450e-01,2.179142e+00
2.166,9.990485759703450e-01,2.180142e+00
2.167,9.990485759703450e-01,2.181142e+00
2.168,9.990485759703450e-01,2.182142e+00
2.169,9.990485759703450e-01,2.183142e+00
